Timestamp,event_id,league,match_time,home_team,away_team,home_score,away_score,SPREAD_FT_-0.5,SPREAD_FT_-1.0,SPREAD_FT_-1.5,SPREAD_FT_-2.0,SPREAD_FT_0.0,SPREAD_FT_0.5,SPREAD_FT_1.0,SPREAD_FT_1.5,SPREAD_FT_2.0,SPREAD_FT_2.5,TOTAL_POINTS_FT_10.0,TOTAL_POINTS_FT_10.5,TOTAL_POINTS_FT_11.0,TOTAL_POINTS_FT_11.5,TOTAL_POINTS_FT_12.0,TOTAL_POINTS_FT_14.5,TOTAL_POINTS_FT_15.0,TOTAL_POINTS_FT_15.5,TOTAL_POINTS_FT_16.0,TOTAL_POINTS_FT_16.5,TOTAL_POINTS_FT_2.0,TOTAL_POINTS_FT_2.5,TOTAL_POINTS_FT_3.0,TOTAL_POINTS_FT_3.5,TOTAL_POINTS_FT_4.0,TOTAL_POINTS_FT_4.5,TOTAL_POINTS_FT_5.0,TOTAL_POINTS_FT_5.5,TOTAL_POINTS_FT_6.0,TOTAL_POINTS_FT_6.5,TOTAL_POINTS_FT_7.0,TOTAL_POINTS_FT_7.5,TOTAL_POINTS_FT_8.0,TOTAL_POINTS_FT_8.5,TOTAL_POINTS_FT_9.0,TOTAL_POINTS_FT_9.5,SPREAD_1H_-0.5,SPREAD_1H_-1.0,SPREAD_1H_0.0,SPREAD_1H_0.5,TOTAL_POINTS_1H_3.5,TOTAL_POINTS_1H_4.0,TOTAL_POINTS_1H_4.5,TOTAL_POINTS_1H_5.0,TOTAL_POINTS_1H_5.5
2024-12-06 21:48:49,1601778999,England - Premier League Cup U21 Corners,2024-12-06T19:00:00Z,Nottingham Forest (Corners),Leicester City (Corners),2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 21:48:49,1601778998,England - Premier League Cup U21 Corners,2024-12-06T19:00:00Z,Everton (Corners),Ipswich Town (Corners),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 21:48:49,1601778990,England - Premier League Cup U21 Corners,2024-12-06T19:00:00Z,Derby County (Corners),Brentford (Corners),3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 21:48:49,1601782507,Portugal - Primeira Liga Corners,2024-12-06T20:15:00Z,Braga (Corners),Estoril (Corners),1,2,"HomeOdds:1.671, AwayOdds:2.2","HomeOdds:1.869, AwayOdds:1.961","HomeOdds:2.11, AwayOdds:1.735","HomeOdds:2.55, AwayOdds:1.5","HomeOdds:1.465, AwayOdds:2.65",,,,,,"OverOdds:2.5, UnderOdds:1.543","OverOdds:2.85, UnderOdds:1.418",,,,,,,,,,,,,,,,,,,,,,"OverOdds:1.549, UnderOdds:2.45","OverOdds:1.757, UnderOdds:2.1","OverOdds:2.07, UnderOdds:1.781","HomeOdds:2.45, AwayOdds:1.537","HomeOdds:4.28, AwayOdds:1.193","HomeOdds:1.581, AwayOdds:2.35","HomeOdds:1.271, AwayOdds:3.59","OverOdds:1.281, UnderOdds:3.52","OverOdds:1.529, UnderOdds:2.5","OverOdds:2.2, UnderOdds:1.675","OverOdds:3.4, UnderOdds:1.307","OverOdds:4.25, UnderOdds:1.204"
2024-12-06 21:48:49,1601780231,Poland - 1st Liga Corners,2024-12-06T19:30:00Z,Polonia Warsaw (Corners),Wisla Krakow (Corners),5,7,,,,,,"HomeOdds:3.19, AwayOdds:1.314","HomeOdds:2.64, AwayOdds:1.444","HomeOdds:2.01, AwayOdds:1.769","HomeOdds:1.689, AwayOdds:2.11","HomeOdds:1.497, AwayOdds:2.49",,,,,,"OverOdds:1.27, UnderOdds:3.46","OverOdds:1.389, UnderOdds:2.84","OverOdds:1.729, UnderOdds:2.06","OverOdds:2.08, UnderOdds:1.714","OverOdds:2.49, UnderOdds:1.5",,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 21:48:49,1601778984,England - Professional Development League U21 Corners,2024-12-06T19:00:00Z,Colchester United (Corners),Cardiff City (Corners),4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 21:48:49,1601778767,France - Ligue 2 Corners,2024-12-06T19:00:00Z,Rodez (Corners),Pau FC (Corners),12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 21:48:49,1601778720,France - Ligue 2 Corners,2024-12-06T19:00:00Z,Stade Lavallois (Corners),Caen (Corners),4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 21:48:49,1601778727,France - Ligue 2 Corners,2024-12-06T19:00:00Z,Lorient (Corners),Troyes (Corners),2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 21:48:49,1601778712,France - Ligue 2 Corners,2024-12-06T19:00:00Z,Martigues (Corners),Guingamp (Corners),8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
